skillid,level,damage,maxskilllevel,element,elementalpower,projectilespeed,projectilescale,shotinterval,piercecount,attackrange,homingrange,ishoming,explosionrad,projectilecount,innerinterval,radius,duration,tickrate,ispersistent,movespeed,effectduration,cooldown,triggerchance,damageincrease,defenseincrease,expareaincrease,homingactivate,hpincrease,movespeedincrease,attackspeedincrease,attackrangeincrease,hpregenincrease
EarthRift,1,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EarthRift,2,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EarthRift,3,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EarthRift,4,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EarthRift,5,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostHunt,1,10,5,Water,1,10,1,1,1,10,5,1,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostHunt,2,10,5,Water,1,10,1,1,1,10,5,1,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostHunt,3,10,5,Water,1,10,1,1,1,10,5,1,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostHunt,4,10,5,Water,1,10,1,1,1,10,5,1,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostHunt,5,10,5,Water,1,10,1,1,1,10,5,1,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EventHorizon,1,10,5,Dark,1,25,1,1,1,10,5,1,0,1,1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EventHorizon,2,10,5,Dark,1,25,1,1,1,10,5,1,0,1,1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EventHorizon,3,10,5,Dark,1,25,1,1,1,10,5,1,0,1,1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EventHorizon,4,10,5,Dark,1,25,1,1,1,10,5,1,0,1,1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
EventHorizon,5,10,5,Dark,1,25,1,1,1,10,5,1,0,1,1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Flame,1,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Flame,2,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Flame,3,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Flame,4,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Flame,5,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
