skillid,level,damage,maxskilllevel,element,elementalpower,projectilespeed,projectilescale,shotinterval,piercecount,attackrange,homingrange,ishoming,explosionrad,projectilecount,innerinterval,radius,duration,tickrate,ispersistent,movespeed,effectduration,cooldown,triggerchance,damageincrease,defenseincrease,expareaincrease,homingactivate,hpincrease,movespeedincrease,attackspeedincrease,attackrangeincrease,hpregenincrease
Vine,1,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Vine,2,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Vine,3,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Vine,4,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
Vine,5,10,5,Earth,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostTide,1,10,5,Water,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostTide,2,10,5,Water,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostTide,3,10,5,Water,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostTide,4,10,5,Water,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
FrostTide,5,10,5,Water,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,0,5,10,100,0,0,0,0,0,0,0,0,0
ShadowWaltz,1,10,5,Dark,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
ShadowWaltz,2,10,5,Dark,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
ShadowWaltz,3,10,5,Dark,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
ShadowWaltz,4,10,5,Dark,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
ShadowWaltz,5,10,5,Dark,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
FireRing,1,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
FireRing,2,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
FireRing,3,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
FireRing,4,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
FireRing,5,10,5,Fire,1,10,1,1,1,10,5,0,0,1,0.1,5,3,1,0,120,5,10,100,0,0,0,0,0,0,0,0,0
